n_ocupacao,media_EME,var_EME,DP_EME
0,0.0005165135985480099,1.7777585861178234e-05,0.004216347454987342
10,0.22752178331330272,0.0005686458808533812,0.023846297005056808
20,0.4546042146737858,0.002165540162571834,0.04653536464423411
30,0.6827420907368588,0.004756538349608067,0.06896766162200997
40,0.9103587154638533,0.008314329934371832,0.09118294760738892
50,1.1388664573503922,0.012881204913837884,0.1134953960028242
60,1.3673683008928874,0.018772688907618365,0.13701346250503402
70,1.5957560526299446,0.02549725545509576,0.15967860049203764
80,1.8228312285440058,0.033163564180445665,0.1821086603664023
90,2.050998865833799,0.04187389791971671,0.20463112646837653
100,2.2781040381281112,0.05158339486325269,0.22711978087179613
