n_ocupacao,media_SNR,var_SNR,DP_SNR
0,-inf,nan,nan
10,10.285392245298032,0.0236978817072271,0.15394116313457912
20,10.67493970201065,0.010757548808460936,0.10371860396505989
30,10.893473157487794,0.005777704237592829,0.07601121126250278
40,11.057772467940701,0.009301265520742267,0.0964430688061214
50,11.187439782613096,0.013897380348014647,0.1178871509029489
60,11.324621390732085,0.007855777309800043,0.08863282298223409
70,11.473732895470164,0.02306769348154298,0.15188052370710003
80,11.587120666491797,0.00624656304384614,0.07903520129566408
90,11.704048339491196,0.007358309976897933,0.08578059207593483
100,11.846511379575828,0.005535972784290626,0.07440411806002828
