n_ocupacao,media_MSE,var_MSE,DP_MSE
0,25.749953449322305,6.924718860032092,2.6314860554508153
10,185.12597282211757,404.9091317817712,20.122354031816734
20,338.8492631424858,1329.5132780020922,36.46249138501224
30,483.5489015988784,2585.1518774227693,50.84438884894546
40,620.8049707696829,4142.598606250393,64.36302204100109
50,750.3509683482478,5944.275418844019,77.09912722491752
60,874.8646923031915,7941.220147792853,89.11352393319912
70,991.3307299191387,10334.966978412878,101.66103962882181
80,1101.7528703982875,12609.798501413003,112.293359115368
90,1202.9382609271875,14808.197257209818,121.68893646182391
100,1296.4416272587275,17382.49593884307,131.84269391529844
