Oc,media_erro,var_Erro,desvio_padrao_erro
0,0.00039344286435537593,23.590510780494487,4.857006359939678
10,2.5534652658838373,237.5596725936554,15.412970920418147
20,5.10943210505755,441.3484851991607,21.00829562813606
30,7.673476023352633,630.119516007595,25.102181498977238
40,10.235169925251888,805.8274702788913,28.38710042041792
50,12.797118788806085,969.3264650908603,31.13400817580127
60,15.367227980846453,1122.0364902209674,33.49681313529643
70,17.93431380014065,1261.8453428121247,35.522462510531625
80,20.49629697508466,1390.5235874284135,37.28972495780055
90,23.0539509981915,1503.9806024226227,38.78118877010635
100,25.608449181353254,1604.376035581107,40.05466309409064
