Oc,media_erro,var_Erro,desvio_padrao_erro
0,0.0006096566775555677,25.007203332206586,5.000720281340138
10,-1.4475980871508876,203.11120965110447,14.251709008084065
20,-2.897741577547233,374.0227065338205,19.339666660359494
30,-4.351923357730018,533.8859910316226,23.105973059614318
40,-5.805316719336815,684.146134771694,26.156187313362285
50,-7.257380227921745,825.6974978267001,28.734952546101415
60,-8.715235234350294,960.1188883508503,30.985785262775742
70,-10.171114196234013,1084.864068831348,32.937274763273116
80,-11.625701606480355,1201.1140605950275,34.65709250059831
90,-13.075142754223865,1306.8940025695588,36.15098895700585
100,-14.524323443639656,1402.1126035508642,37.444794078094006
